,issuerid,EMITENT_FULL_NAME,combined
23,24,"Публичное акционерное общество ""Акрон""","['Акрон', 'AKRN RX', 'акрона', 'Acron']"
24,25,"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""","['Башнефть', 'BANE RX', 'Башнефти']"
25,26,"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""","['Акционерная финансовая корпорация ""Система""', 'AFKS RX', 'АФК Система', 'Система', 'АФК Системы']"
26,27,"Публичное акционерное общество ""АЛРОСА-Нюрба""","['АЛРОСА-Нюрба', 'ALNU RX', 'Алроса', 'Alrosa', 'Алросы']"
27,28,"Публичное акционерное общество ""Аптечная сеть 36,6""","['Аптечная сеть 36,6', 'APTK RX']"
28,29,"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""","['АСКО-СТРАХОВАНИЕ', 'ACKO']"
29,30,"Публичное акционерное общество ""Астраханская энергосбытовая компания""","['Астраханская энергосбытовая компания', 'ASSB', 'Астраханская ЭСБ']"
30,31,"Публичное акционерное общество ""Ашинский металлургический завод""","['Ашинский металлургический завод', 'AMEZ']"
31,32,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""","['Аэрофлот – российские авиалинии', 'AFLT RX', 'Аэрофлот', 'Aeroflot', 'Аэрофлота']"
32,33,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""","['БАНК ""САНКТ-ПЕТЕРБУРГ""', 'BSPB RX', 'Банк Санкт-Петербург', 'БСПБ', 'Банк Петербург', 'СПБ Банк', 'СПБ Банка']"
33,34,"Публичное акционерное общество ""БАНК УРАЛСИБ""","['БАНК УРАЛСИБ', 'USBN', 'УРАЛСИБ', 'УРАЛСИБа', 'uralsib']"
34,35,"Публичное акционерное общество ""Башинформсвязь""","['Башинформсвязь', 'BISV', 'Башинформсвязи']"
35,36,"Публичное акционерное общество ""Белуга Групп""","['Белуга Групп', 'BELU RX', 'Белуга', 'Белуги', 'Beluga']"
36,37,"Публичное акционерное общество ""Бест Эффортс Банк""","['Бест Эффортс Банк', 'ALBK']"
37,38,"Публичное акционерное общество ""Бурятзолото""","['Бурятзолото', 'BRZL']"
38,39,"Публичное акционерное общество ""Варьеганнефтегаз""","['Варьеганнефтегаз', 'VJGZ']"
39,40,"Публичное акционерное общество ""Владимирский химический завод""","['Владимирский химический завод', 'VLHZ']"
40,41,"Публичное акционерное общество ""Волгоградэнергосбыт""","['Волгоградэнергосбыт', 'VGSB']"
41,42,"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""","['Вторая генерирующая компания оптового рынка электроэнергии', 'OGKB']"
42,43,"Публичное акционерное общество ""Выборгский судостроительный завод""","['Выборгский судостроительный завод', 'VSYD']"
43,44,"Публичное акционерное общество ""ГАЗ""","['ГАЗ', 'ГАЗа', 'GAZA', 'группа ""ГАЗ""', 'группа ГАЗ', 'ПАО Газ', 'ПАО ""Газ""']"
44,45,"Публичное акционерное общество ""ГАЗКОН""","['ГАЗКОН', 'GAZC', 'газкона', 'газкон-ао']"
45,46,"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""","['Газпром газораспределение Ростов-на-Дону', 'RTGZ', 'ПАО ""Газпром газораспределение Ростов-на-Дону""', 'rostovoblgaz', 'Газпром РнД', 'Ростовоблгаз']"
46,47,"Публичное акционерное общество ""Газпром нефть""","['Газпром нефть', 'SIBN RX', 'ПАО ""Газпром нефть""', 'Газпром нефти', 'Gazprom Neft']"
47,48,"Публичное акционерное общество ""Газпром""","['Газпром', 'GAZP RX', 'ПАО ""Газпром""', 'Газпрома', 'Gazprom', 'gazp']"
48,49,"Публичное акционерное общество ""ГАЗ-сервис""","['ГАЗ-сервис', 'ГАЗ-сервиса', 'GAZS', 'ПАО ""ГАЗ-сервис""', 'gas-service']"
49,50,"Публичное акционерное общество ""ГАЗ-Тек""","['ГАЗ-Тек', 'gazt', 'газ-тэк', 'газ-тэка', 'gaz-tec']"
50,51,"Публичное акционерное общество ""ГЕОТЕК Сейсморазведка""","['ГЕОТЕК Сейсморазведка', 'GTSS', 'геотек', 'геотека', 'gseis', 'ПАО «ГЕОТЕК Сейсморазведка»']"
51,52,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""","['ГЛОБАЛТРАК МЕНЕДЖМЕНТ', 'GTRK', 'Глобалтрак', 'Глобалтрака', 'Globaltruck']"
52,53,"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""","['Норильский никель', 'GMKN RX', 'Норникель', 'Норникеля', 'ПАО ""Горно-металлургическая компания ""Норильский никель""', 'ПАО ""ГМК ""Норильский никель""', 'Nornickel', 'Норильский никель']"
53,54,"Публичное акционерное общество ""Городские Инновационные Технологии""","['Городские Инновационные Технологии', 'GRNT', 'ПАО «Городские Инновационные Технологии', 'ПАО ""ГИТ""', 'Городские Инновационные Технологии', 'ГИТ']"
54,55,"Публичное акционерное общество ""Группа Компаний  ""Роллман""","['Роллман', 'RLMN', 'Роллмана', 'Rollman']"
55,56,"публичное акционерное общество ""Группа компаний ""Самолет""","['Группа компаний ""Самолет""', 'SMLT RX', 'Самолет', 'Самолета', 'Samolet', 'группа самолет']"
56,57,"Публичное акционерное общество ""Группа ЛСР""","['Группа ЛСР', 'LSRG RX', 'ЛСР']"
57,58,"Публичное акционерное общество ""Группа Черкизово""","['Группа Черкизово', 'GCHE RX', 'Черкизово', 'Cherkizovo']"
58,59,"Публичное акционерное общество ""Дагестанская энергосбытовая компания""","['Дагестанская энергосбытовая компания', 'DASB', 'ДагСб', 'Дагестанэнергосбыт', 'Dagestanskaya Energosbytovaya']"
59,60,"Публичное акционерное общество ""Дальневосточная энергетическая компания""","['Дальневосточная энергетическая компания', 'DVEC', 'ДЭК', 'Дальневосточная энергетическая компания']"
60,61,"Публичное акционерное общество ""Дальневосточное морское пароходство""","['Дальневосточное морское пароходство', 'FESH', 'ДВМП', 'FESCO', 'Дальневосточное морское пароходство']"
61,62,"Публичное акционерное общество ""Детский мир""","['Детский мир', 'DSKY RX', 'Детского мира', 'Detsky Mir', 'Детмир']"
62,63,"Публичное акционерное общество ""ДжиТиЭл""","['ДжиТиЭл', 'GTLC', 'ДжиТиЭл', 'GTL']"
63,64,"Публичное акционерное общество ""Европейская Электротехника""","['Европейская Электротехника', 'EELT', 'Европейская Электротехника', 'Yevropyeyskaya Elyektrotyekhnika']"
64,65,"Публичное акционерное общество ""Завод имени И.А. Лихачева""","['Завод имени И.А. Лихачева', 'ZILL', 'Завод имени И.А. Лихачева', 'ЗИЛ', 'ЗИЛа', 'ZIL', 'Завод имени Лихачёва']"
65,66,"Публичное акционерное общество ""ЗВЕЗДА""","['ЗВЕЗДА', 'ZVEZ', 'Звезды', 'ZVEZDA']"
66,67,"Публичное акционерное общество ""Ижсталь""","['Ижсталь', 'IGST', 'Ижстали', 'Ижевский металлургический завод', ""Izhstal'""]"
67,68,"Публичное акционерное общество ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""","['ИНВЕСТ-ДЕВЕЛОПМЕНТ', 'IDVP', 'инвест-девелопмент', 'invest-development']"
68,69,"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""","['ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ', 'RUSI', 'Руссинвест', 'ИК Русс-Инвест', 'Russ-Invest', 'Русс-Инвест', 'Russinvest', 'Русс-Инвест ИК']"
69,70,"Публичное акционерное общество ""ИНГРАД""","['ИНГРАД', 'INGR RX', 'OPIN', 'Инграда', 'Ingrad', 'Ingr', 'Инград (ПАО)', 'ПАО Инград']"
70,71,"Публичное акционерное общество ""Институт Стволовых Клеток Человека""","['Институт Стволовых Клеток Человека', 'ISKJ', 'ИСКЧ', 'Институт Стволовых Клеток Человека']"
71,72,"Публичное акционерное общество ""Интер РАО ЕЭС""","['Интер РАО ЕЭС', 'IRAO RX', 'Интер РАО', 'Inter Rao', 'Интер РАО ЕЭС Финанс']"
72,73,"Публичное акционерное общество ""Калужская сбытовая компания""","['Калужская сбытовая компания', 'KLSB', 'КСК', 'КЛСБ', 'Калужская сбытовая компания', 'Калужская СбытКомп', 'Kalujskaya Sbytovaya']"
73,74,"Публичное акционерное общество ""КАМАЗ""","['КАМАЗ', 'KMAZ RX', 'Камаза', 'Kamaz']"
74,75,"Публичное акционерное общество ""Каменск-Уральский завод по обработке цветных металлов""","['Каменск-Уральский завод по обработке цветных металлов', 'KUNF', 'Кузоцм', 'Kuzocm']"
75,76,"Публичное акционерное общество ""Квадра - Генерирующая компания""","['Квадра - Генерирующая компания', 'TGKD', 'АО Квадра', 'quadra', 'квадра', 'пао квадра']"
76,77,"публичное акционерное общество ""Ковровский механический завод""","['Ковровский механический завод', 'KMEZ', 'ПАО КМЗ', 'Ковровский мехзд', 'Ковровский механический завод', 'kvmz']"
77,78,"Публичное акционерное общество ""Кокс""","['Кокс', 'KSGR', 'ПАО кокс', 'кокса', 'koks']"
78,79,"публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""","['Корпорация ВСМПО-АВИСМА', 'VSMO', 'Корпорация ВСМПО-АВИСМА', 'ВСМПО-АВИСМА', 'VSMPO-AVISMA Corporation', 'VSMPO-AVISMA', 'ВСМПО-АВСМ', 'ВСМПО']"
79,80,"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""","['Коршуновский горно-обогатительный комбинат', 'KOGK', 'Коршуновский гок', 'Korshunov Mining Plant', 'Korgok']"
80,81,"Публичное акционерное общество ""Косогорский металлургический завод""","['Косогорский металлургический завод', 'KMTZ', 'Косогорский металлургический завод', 'ПАО КМЗ', 'KGIW']"
81,82,"Публичное акционерное общество ""Костромская сбытовая компания""","['Костромская сбытовая компания', 'KTSB', 'КСК', 'Костромская сбытовая компания', 'Kostromskaya sbytovaya kompaniya', 'KSK']"
82,83,"Публичное акционерное общество ""Краснокамский завод металлических сеток""","['Краснокамский завод металлических сеток', 'KZMS', 'КЗМС', 'Краснокамский завод металлических сеток', 'Россет', 'Rosset']"
83,84,"Публичное акционерное общество ""Красноярскэнергосбыт""","['Красноярскэнергосбыт', 'KRSB', 'Красноярскэнергосбыт', 'krsk-sbit']"
84,85,"Публичное акционерное общество ""Кузбасская Топливная Компания""","['Кузбасская Топливная Компания', 'KBTK', 'Кузбасская топливная компания', 'КТК', 'KTK', 'ПАО КТК']"
85,86,"Публичное акционерное общество ""КуйбышевАзот""","['КуйбышевАзот', 'KAZT', 'КуйбышевАзот', 'kuazot', 'Куйбазот']"
86,87,"Публичное акционерное общество ""Курганская генерирующая компания""","['Курганская генерирующая компания', 'KGKC', 'Курганская генерирующая компания', 'Курганская ГК', 'КГК', 'ПАО КГК', 'KGK', 'Kurgancskaya Generiruyushaya']"
87,88,"Публичное акционерное общество ""М.видео""","['М.видео', 'MVID RX', 'Мвидео', 'Mvideo', 'M.video']"
88,89,"Публичное акционерное общество ""Магнит""","['Магнит', 'MGNT RX', 'Магнита', 'Magnit', 'Mgnt', 'ПАО Магнит', 'Магнит ПАО']"
89,90,"Публичное акционерное общество ""Магнитогорский металлургический комбинат""","['Магнитогорский металлургический комбинат', 'MAGN RX', 'ММК', 'Magnitigorskiy Metallurgicheskiy', 'Магнитогорский металлургический комбинат', 'Магнитка']"
90,91,"Публичное акционерное общество ""МегаФон""","['МегаФон', 'MFON RX', 'Мегафона', 'Megafon', 'ПАО Мегафон', 'Мегафон ПАО']"
91,92,"Публичное акционерное общество ""Медиахолдинг""","['Медиахолдинг', 'ODVA']"
92,93,"Публичное акционерное общество ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""","['Международный Медицинский Центр Обработки и Криохранения Биоматериалов', 'GEMA']"
93,94,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо-Запада""","['Межрегиональная распределительная сетевая компания Северо-Запада', 'MRKZ']"
94,95,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""","['Межрегиональная распределительная сетевая компания Центра и Приволжья', 'MRKP']"
95,96,"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""","['Межрегиональная распределительная сетевая компания Центра', 'MRKC']"
96,97,"Публичное акционерное общество ""МЕРИДИАН""","['МЕРИДИАН', 'MERF', 'МЕРИДИАНа', 'meridian']"
97,98,"Публичное акционерное общество ""МЕТКОМБАНК""","['МЕТКОМБАНК', 'MTKB', 'МЕТКОМБАНКа']"
98,99,"Публичное акционерное общество ""Мечел""","['Мечел', 'MTLR RX', 'мечела', 'mechel', 'mtlrp']"
99,100,"Публичное акционерное общество ""Мобильные ТелеСистемы""","['Мобильные ТелеСистемы', 'MTSS RX', 'MTC', 'МТСа', 'mts']"
100,101,"Публичное акционерное общество ""Мордовская энергосбытовая компания""","['Мордовская энергосбытовая компания', 'MRSB']"
101,102,"Публичное акционерное общество ""Морион""","['Морион', 'MORI', 'Мориона', 'morion']"
102,103,"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""","['Московская Биржа ММВБ-РТС', 'MOEX RX', 'Мосбиржа', 'Московская биржа', 'Мосбиржи']"
103,104,"Публичное акционерное общество ""Московская городская телефонная сеть""","['Московская городская телефонная сеть', 'MGTS RX', 'мгтс', 'мгтса']"
104,105,"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""","['Красный Октябрь', 'KROT', 'KROTP', 'Красного Октября']"
105,106,"Публичное акционерное общество ""МОСТОТРЕСТ""","['МОСТОТРЕСТ', 'mstt', 'мостотреста']"
106,107,"Публичное акционерное общество ""Наука-Связь""","['Наука-Связь', 'NSVZ', 'наука-связи']"
107,108,"публичное акционерное общество ""Научно-производственная корпорация ""Иркут""","['Иркут', 'IRKT RX', 'Иркута']"
108,109,"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""","['Объединенная Вагонная Компания', 'UWGN RX', 'Объединенной Вагонной Компании']"
109,110,"Публичное акционерное общество ""Нефтекамский автозавод""","['Нефтекамский автозавод', 'NFAZ', 'нефаз', 'Нефтекамского автозавода']"
110,111,"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""","['ЛУКОЙЛ', 'LKOH RX', 'ЛУКОЙЛа']"
111,112,"публичное акционерное общество ""Нефтяная компания ""Роснефть""","['Роснефть', 'ROSN RX', 'роснефть', 'rosneft', 'роснефти']"
112,113,"Публичное Акционерное Общество ""Нижнекамскнефтехим""","['Нижнекамскнефтехим', 'NKNCP', 'NKNC', 'Нижнекамскнефтехим']"
113,114,"Публичное акционерное общество ""Нижнекамскшина""","['Нижнекамскшина', 'NKSHP', 'NKSH', 'Нижнекамскшина']"
114,115,"публичное акционерное общество ""НОВАТЭК""","['НОВАТЭК', 'NVTK RX', 'Новатэк', 'Novatek', 'Новатэка']"
115,116,"Публичное акционерное общество ""Новолипецкий металлургический комбинат""","['Новолипецкий металлургический комбинат', 'NLMK RX', 'НЛМК']"
116,117,"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""","['Новороссийский комбинат хлебопродуктов', 'NKHP', 'новороссийский комбинат хлебопродуктов', 'нкхп']"
117,118,"Публичное акционерное общество ""Новороссийский морской торговый порт""","['Новороссийский морской торговый порт', 'nmtp', 'нмтп', 'новороссийский морской порт', 'новороссийский морской торговый порт']"
118,119,"Публичное акционерное общество ""Новороссийское морское пароходство""","['Новороссийское морское пароходство', 'nompp', 'новошип', 'новороссийское морское пароходство']"
119,120,"Публичное акционерное общество ""Объединенная авиастроительная корпорация""","['Объединенная авиастроительная корпорация', 'UNAC RX', 'ПАО ОАК', 'ПАО ""ОАК""', 'объединенная авиастроительная корпорация']"
120,121,"Публичное акционерное общество ""Объединенные Кредитные Системы""","['Объединенные Кредитные Системы', 'UCSS', 'Кредитные системы', 'Объединенные Кредитные Системы']"
121,122,"Публичное акционерное общество ""ОДК-Сатурн""","['ОДК-Сатурн', 'SATR', 'Сатурн', 'ОДК Сатурн', 'ОДК-Сатурн', 'ОДК_Сатурн']"
122,123,"Публичное акционерное общество ""ОР""","['ОР', 'ORUP', 'ОР ГРУПП', 'ПАО ОР']"
123,124,"Публичное акционерное общество ""Павловский автобус""","['Павловский автобус', 'paza', 'Павловский автобус', 'Павл Автобус', 'ПавлБус']"
124,125,"Публичное акционерное общество ""Пермская энергосбытовая компания""","['Пермская энергосбытовая компания', 'PMSBP', 'PMSB', 'ПЕРМЭНЕРГОСБЫТ', 'ПЕРМЭНЕРГОСБЫТа', 'Пермская энергосбытовая компания']"
125,126,"Публичное акционерное общество ""ПИК-специализированный застройщик""","['ПИК-специализированный застройщик', 'PIKK RX', 'ПИК СЗ', 'ПИК']"
126,127,"Публичное акционерное общество ""Полюс""","['Полюс', 'PLZL RX', 'Полюса']"
127,128,"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""","['Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва', 'RKKE', 'Энергия', 'РКК Энергия', 'РКК «Энергия»']"
128,129,"Публичное акционерное общество ""Распадская""","['Распадская', 'RASP RX', 'ПАО «Распадская»', 'Распадская']"
129,130,"Публичное акционерное общество ""РБК""","['РБК', 'RBCM', 'РосБизнесКонсалтинг', 'ГК «РосБизнесКонсалтинг»', 'Рос Бизнес Консалтинг']"
130,131,"Публичное акционерное общество ""РН-Западная Сибирь""","['РН-Западная Сибирь', 'CHGZ', 'РН-Западная Сибирь']"
131,132,"Публичное акционерное общество ""Росгосстрах Банк""","['Росгосстрах Банк', 'RGSC', 'Росгосстрах Банк', 'Банк Росгосстрах', 'РГС Банк', 'Росгосстрах', 'Росгосстраха']"
132,133,"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""","['РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ', 'ROST', 'РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ', 'РОСИНТЕР', 'Rosinter']"
133,134,"Публичное акционерное общество ""Россети Волга""","['Россети Волга', 'mrkv', 'Россети Волга']"
134,135,"Публичное акционерное общество ""Россети Кубань""","['Россети Кубань', 'kube', 'Россети Кубань']"
135,136,"Публичное акционерное общество ""Россети Ленэнерго""","['Россети Ленэнерго', 'lsng', 'Россети Ленэнерго']"
136,137,"Публичное акционерное общество ""Россети Московский регион""","['Россети Московский регион', 'MSRS', 'Россети Московский регион']"
137,138,"Публичное акционерное общество ""Россети Северный Кавказ""","['Россети Северный Кавказ', 'MRKK', 'Россети Северный Кавказ']"
138,139,"Публичное акционерное общество ""Россети Сибирь""","['Россети Сибирь', 'MRKS', 'Россети Сибирь']"
139,140,"Публичное акционерное общество ""Россети Юг""","['Россети Юг', 'MRKY']"
140,141,"Публичное акционерное общество ""Российские сети""","['Российские сети', 'RSTI RX', 'Российские сети']"
141,142,"Публичное акционерное общество ""Ростелеком""","['Ростелеком', 'RTKM RX', 'ростелекома']"
142,143,"Публичное акционерное общество ""Русгрэйн Холдинг""","['Русгрэйн Холдинг', 'RUGR']"
143,144,"Публичное акционерное общество ""Русолово""","['Русолово', 'ROLO']"
144,145,"Публичное акционерное общество ""Русполимет""","['Русполимет', 'RUSP']"
145,146,"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""","['Рязанская энергетическая сбытовая компания', 'RZSB']"
146,147,"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""","['Саратовский нефтеперерабатывающий завод', 'KRKN', 'KRKNP']"
147,148,"Публичное акционерное общество ""Саратовэнерго""","['Саратовэнерго', 'SAREP', 'SARE', 'Саратовэнерго']"
148,149,"Публичное акционерное общество ""САФМАР Финансовые инвестиции""","['САФМАР Финансовые инвестиции', 'SFIN RX']"
149,150,"Публичное акционерное общество ""Сбербанк России""","['Сбербанк России', 'SBER RX', 'Sberbank', 'Sber', 'сбербанк', 'сбер', 'сбербанка', 'сбера']"
150,151,"Публичное акционерное общество ""Светофор Групп""","['Светофор Групп', 'SVET', 'Светофор Групп', 'Группа светофор', 'Светофор', 'Светофора']"
151,152,"Публичное акционерное общество ""Северсталь""","['Северсталь', 'CHMF RX', 'северстали']"
152,153,"Публичное акционерное общество ""Селигдар""","['Селигдар', 'SELG', 'селигдара']"
153,154,"Публичное Акционерное Общество ""Сибирский гостинец""","['Сибирский гостинец', 'SIBG']"
154,155,"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""","['Славнефть - Мегионнефтегаз', 'MFGS', 'Славнефть-Мегионнефтегаз']"
155,156,"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""","['Славнефть-Ярославнефтеоргсинтез', 'Славнефть - Ярославнефтеоргсинтез', 'JNOS', 'JNOSP']"
156,157,"Публичное акционерное общество ""Современный коммерческий флот""","['Современный коммерческий флот', 'FLOT RX', 'совкомфлот', 'совкомфлота']"
157,158,"Публичное акционерное общество ""СОЛЛЕРС""","['СОЛЛЕРС', 'SVAV RX', 'соллерса', 'sollers', 'северсталь-авто']"
158,159,"Публичное акционерное общество ""Ставропольэнергосбыт""","['Ставропольэнергосбыт', 'STSB', 'Ставропольэнергосбыта']"
159,160,"Публичное акционерное общество ""Сургутнефтегаз""","['Сургутнефтегаз', 'SNGS RX', 'сургутнефтегаза']"
160,161,"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""","['Красный котельщик', 'KRKOP', 'ткз Красный котельщик', 'ткз ""Красный котельщик""', 'Красного котельщика', 'PJSC Krasny Kotelshchik', 'Krasny Kotelshchik']"
161,162,"Публичное акционерное общество ""Тамбовская энергосбытовая компания""","['Тамбовская энергосбытовая компания', 'TASBP', 'Тамбовэнергосбыт', 'Тамбовская энергосбытовая компания', 'TASB']"
162,163,"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина","['Татнефть', 'TATN RX', 'Татнефть', 'Tatneft', 'Татнефти']"
163,164,"Публичное акционерное общество ""Таттелеком""","['Таттелеком', 'TTLK', 'Таттелеком', 'tattelecom', 'Таттелекома']"
164,165,"Публичное акционерное общество ""Территориальная генерирующая компания № 14""","['Территориальная генерирующая компания №14', 'TGKN', 'ТГК-14', 'TGC-14', 'TGK-14']"
165,166,"Публичное акционерное общество ""Территориальная генерирующая компания №1""","['Территориальная генерирующая компания №1', 'TGKA', 'ТГК-1', 'TGC-1', 'TGK-1']"
166,167,"Публичное акционерное общество ""Территориальная генерирующая компания №2""","['Территориальная генерирующая компания №2', 'TGKB', 'ТГК-2', 'TGC-2', 'TGK-2']"
167,168,"Публичное акционерное общество ""ТНС энерго Воронеж""","['ТНС энерго Воронеж', 'VRSB', 'ТНС энерго Воронеж', 'VRSBP']"
168,169,"Публичное акционерное общество ""ТНС энерго Кубань""","['ТНС энерго Кубань', 'KBSB', 'ТНС энерго Кубань', 'KBSBP', 'KBSBP']"
169,170,"Публичное акционерное общество ""ТНС энерго Марий Эл""","['ТНС энерго Марий Эл', 'MISB', 'ТНС энерго Марий Эл', 'MISBP']"
170,171,"Публичное акционерное общество ""ТНС энерго Нижний Новгород""","['ТНС энерго Нижний Новгород', 'NNSB', 'ТНС энерго Нижний Новгород', 'NNSB', 'ТНС энерго Нижний Новг', 'NNSBP']"
171,172,"Публичное акционерное общество ""ТНС энерго Ростов-на-Дону""","['ТНС энерго Ростов-на-Дону', 'RTSB', 'ТНС энерго Ростов-на-Дону', 'RTSB', 'ТНС энерго Ростов', 'RTSBP']"
